path	producer	sha256	url
bug58144-headers-footers-2007.pptx	microsoft-powerpoint	63e0db239ef3083b8537705941247af195b200e83535f8d92c246e774f771289	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/test-data/slideshow/bug58144-headers-footers-2007.pptx
bug60993.pptx	libreoffice-impress	ad54b71b1deeec29d9e5e6d8d81ae4590b5ffafb906ea738aebe347336189364	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/test-data/slideshow/bug60993.pptx
bug64693.pptx	microsoft-powerpoint	8cfe77cee329d0186fcb2827b5ad49371b3b7833ab6181e63de6b923e96ec275	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/test-data/slideshow/bug64693.pptx
bug68703.pptx	microsoft-powerpoint	f232d0dc390c741855b4395f74a11d2610243fffd8699f72dd3185ad5f930852	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/test-data/slideshow/bug68703.pptx
chart-picture-bg.pptx	microsoft-powerpoint	97bad7041fa5f23408eea513cd85bf7fed47a8ba218d8791a59be14cb53fdaa5	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/test-data/slideshow/chart-picture-bg.pptx
chart-slide-bg.pptx	microsoft-powerpoint	1e57296fdac894c239ed47e4fc9521da59ab26c34f4d28ec2036f0befbc5fd74	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/test-data/slideshow/chart-slide-bg.pptx
chart-texture-bg.pptx	microsoft-powerpoint	ae762899957805da751059c50ae8e770fb97ce5905e6a177b7c9644c4b173d45	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/test-data/slideshow/chart-texture-bg.pptx
copy-slide-demo.pptx	microsoft-powerpoint	3c72f8c73785f45b3698477edba39f0f1bffbff54826566bc368fda453abf300	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/test-data/slideshow/copy-slide-demo.pptx
crop-to-0.pptx	libreoffice-impress	5d6aa3a226c6257592e3d97d4a4a4e4832c16411116d97e70676f38dc5a525c5	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/test-data/slideshow/crop-to-0.pptx
customGeo.pptx	microsoft-powerpoint	9baa7f4554cbaddfcebcc431432268ea34f20c02787172bb0a7d12d640e7e84f	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/test-data/slideshow/customGeo.pptx
ececapstonespring2012.pptx	microsoft-powerpoint	dfbe5d5ba7ca5f718858250dedb30c1da3e3a28cb1ecfebd9ca96d4e58fa7051	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/test-data/slideshow/ececapstonespring2012.pptx
layouts.pptx	microsoft-powerpoint	9c3d53afa3115de2ba72ec77637a616aeed505a6ff3b30a46db871c4edd32be5	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/test-data/slideshow/layouts.pptx
line-chart.pptx	microsoft-powerpoint	a2319540fb096629874e8c2baf91b9f8afd1386bfba411efff503b96dce9e9a1	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/test-data/slideshow/line-chart.pptx
pie-chart.pptx	microsoft-powerpoint	3b6404b59b24cb79fbb91fc2e92bd8b80cdc340aeed71a1ec1e267db0d8ad444	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/test-data/slideshow/pie-chart.pptx
placeholder-layout-color.pptx	microsoft-powerpoint	b683af99cf4e71db112fe87db15840846c53dbc7a6839cbf84804980d21af9ce	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/test-data/slideshow/placeholder-layout-color.pptx
sample_pptx_grouping_issues.pptx	microsoft-powerpoint	a8639e12e763a01d889a6178e154c21db2dd4275f8f35ac81a458f81e26b2c18	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/test-data/slideshow/sample_pptx_grouping_issues.pptx
smartart-rotated-text.pptx	microsoft-powerpoint	a357985aec81b0bfa8a71138bbe94c9b3f6e00dee110c0da34302e22253de260	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/test-data/slideshow/smartart-rotated-text.pptx
smartart-simple.pptx	microsoft-powerpoint	238ff6433dac00b2722edb9a29d97f56ab4f3c9c37f33a73d6f53baf494916aa	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/test-data/slideshow/smartart-simple.pptx
themes.pptx	microsoft-powerpoint	3ea86e4ee84a8bca6b99fe3a9f2a9a9186c0655df28ff92a2d02da24926c64ba	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/test-data/slideshow/themes.pptx
gdown-google-slides.pptx	google-slides	dcf256e9df93140c10e51fcda344445eeb73bd45389d3c42186abd366c622000	https://docs.google.com/presentation/d/13AhW1Z1GYGaiTpJ0Pr2TTXoQivb6jx-a/export?format=pptx
